tmdb_id,title,release_date,release_year,release_window,genres,genre_bn,budget,revenue,budget_adj,revenue_adj,profit_ratio,outcome_label,budget_tier,prestige_tier,lead_actor,cast_names,cast_ids,runtime,vote_average,vote_count,popularity
8193,Napoleon Dynamite,2004-06-11,2004,Summer,Comedy,Comedy,400000,46118097,666588.0,76854380.0,115.29517483063002,Hit,Micro,Emerging,Jon Heder,Jon Heder|Efren Ramirez|Tina Majorino|Aaron Ruell|Jon Gries,53926|20190|53930|53927|9629,95,6.783,2127,3.4054
8198,The Quiet American,2002-11-22,2002,Holiday,Romance|Thriller|Drama|War,Drama,30000000,27674124,52495164.0,48425256.0,0.9224708013103836,Flop,Mid,Rising,Michael Caine,Michael Caine|Brendan Fraser|Đỗ Thị Hải Yến|Tzi Ma|Rade Šerbedžija,3895|18269|53962|21629|1118,101,6.545,325,1.5456
8202,Æon Flux,2005-11-30,2005,Holiday,Science Fiction|Action|Thriller,Sci-Fi,62000000,53321673,99935238.0,85947001.0,0.8600269806732236,Flop,Mid,Established,Charlize Theron,Charlize Theron|Marton Csokas|Jonny Lee Miller|Sophie Okonedo|Frances McDormand,6885|20982|9012|2598|3910,93,5.637,2432,4.0331
12,Finding Nemo,2003-05-30,2003,Spring,Animation|Family|Adventure,Comedy,94000000,940335536,160819696.0,1608771008.0,10.003569513027808,Blockbuster,High,Emerging,Albert Brooks,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Geoffrey Rush,13|14|12|5293|118,100,7.817,20429,16.2188
8204,The Spiderwick Chronicles,2008-02-14,2008,Other,Family|Adventure|Fantasy|Drama,Comedy,90000000,164200000,131591454.0,240081297.0,1.8244444430259126,Hit,High,Rising,Freddie Highmore,Freddie Highmore|Sarah Bolger|David Strathairn|Mary-Louise Parker|Nick Nolte,1281|33397|11064|18248|1733,95,6.684,2816,5.7303
16,Dancer in the Dark,2000-09-01,2000,Other,Drama|Crime,Drama,12500000,40061153,22851045.0,73235138.0,3.2048922926719543,Hit,Low,Emerging,Björk,Björk|Catherine Deneuve|David Morse|Peter Stormare|Joel Grey,47|50|52|53|6748,140,7.847,1984,3.1954
20,My Life Without Me,2003-03-07,2003,Spring,Drama|Romance,Drama,2500000,12300000,4277120.0,21043428.0,4.919999438874757,Break-even,Micro,Emerging,Sarah Polley,Sarah Polley|Amanda Plummer|Scott Speedman|Mark Ruffalo|Leonor Watling,98|99|100|103|101,106,6.084,498,1.4719
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,Summer,Adventure|Fantasy|Action,Action,140000000,655011224,239518696.0,1120624529.0,4.67865159469639,Blockbuster,Mega,A-list,Johnny Depp,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,85|118|114|116|1709,143,7.821,22067,16.6911
24,Kill Bill: Vol. 1,2003-10-10,2003,Other,Action|Crime,Action,30000000,180906076,51325435.0,309502767.0,6.030202510704488,Hit,Mid,Established,Uma Thurman,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,139|140|2535|589|141,111,7.972,18787,13.7184
25,Jarhead,2005-11-04,2005,Holiday,Drama|War,Drama,72000000,97076152,116053825.0,156473038.0,1.348279886509557,Break-even,High,A-list,Jake Gyllenhaal,Jake Gyllenhaal|Jamie Foxx|Peter Sarsgaard|Scott MacDonald|Chris Cooper,131|134|133|132|2955,123,6.681,3144,5.2289
122906,About Time,2013-09-04,2013,Other,Drama|Romance|Fantasy,Drama,12000000,87100449,16212670.0,117677566.0,7.258370521326839,Hit,Low,Established,Domhnall Gleeson,Domhnall Gleeson|Rachel McAdams|Bill Nighy|Tom Hollander|Margot Robbie,93210|53714|2440|2441|234352,123,7.908,9182,8.2215
27,9 Songs,2004-07-16,2004,Summer,Drama|Music|Romance,Drama,1000000,1574623,1666469.0,2624060.0,1.5746227502581807,Break-even,Micro,Emerging,Kieran O'Brien,Kieran O'Brien|Margo Stilley|Courtney Taylor-Taylor|Alex Kapranos|Guy Garvey,176|177|1759241|1759261|1357012,70,5.531,572,11.9084
311324,The Great Wall,2016-12-16,2016,Holiday,Action|Adventure|Fantasy,Action,150000000,331957105,196747500.0,435411537.0,2.213047367819159,Blockbuster,High,A-list,Matt Damon,Matt Damon|Jing Tian|Willem Dafoe|Andy Lau|Pedro Pascal,1892|1151657|5293|25246|1253360,103,6.026,5500,6.8554
376865,High Life,2018-09-26,2018,Other,Science Fiction|Drama|Mystery,Sci-Fi,8933400,2133033,11199516.0,2674115.0,0.23877058615747324,Flop,Low,Established,Robert Pattinson,Robert Pattinson|Juliette Binoche|Mia Goth|André 3000|Agata Buzek,11288|1137|1137824|37934|37982,113,5.747,1216,2.5425
35,The Simpsons Movie,2007-07-25,2007,Summer,Animation|Comedy|Family,Comedy,75000000,527068851,113891462.0,800381891.0,7.027584657750728,Blockbuster,High,Emerging,Dan Castellaneta,Dan Castellaneta|Julie Kavner|Nancy Cartwright|Yeardley Smith|Hank Azaria,198|199|200|5586|5587,87,7.02,8492,7.019
376867,Moonlight,2016-10-21,2016,Other,Drama,Drama,4000000,65046687,5246600.0,85318487.0,16.261671749323373,Hit,Micro,Emerging,Trevante Rhodes,Trevante Rhodes|André Holland|Janelle Monáe|Ashton Sanders|Jharrel Jerome,1650301|459980|1005852|1152019|1664716,111,7.357,7482,6.3753
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,2014,Holiday,Action|Adventure|Fantasy,Action,250000000,956019788,332484157.0,1271445734.0,3.8240791545444974,Blockbuster,Mega,Rising,Ian McKellen,Ian McKellen|Martin Freeman|Richard Armitage|Orlando Bloom|Evangeline Lilly,1327|7060|30315|114|19034,144,7.332,15252,18.6099
38,Eternal Sunshine of the Spotless Mind,2004-03-19,2004,Spring,Science Fiction|Drama|Romance,Sci-Fi,20000000,72258126,33329381.0,120415929.0,3.6129062522943345,Hit,Low,A-list,Jim Carrey,Jim Carrey|Kate Winslet|Kirsten Dunst|Mark Ruffalo|Elijah Wood,206|204|205|103|109,108,8.091,16218,26.7945
417830,Diary of a Wimpy Kid: The Long Haul,2017-05-19,2017,Spring,Comedy|Family|Adventure,Comedy,22000000,40120144,28255863.0,51528604.0,1.8236429020058598,Break-even,Low,Emerging,Jason Ian Drucker,Jason Ian Drucker|Alicia Silverstone|Tom Everett Scott|Charlie Wright|Owen Asztalos,1517834|5588|16857|1684473|1650112,91,5.299,523,3.011
464052,Wonder Woman 1984,2020-12-16,2020,Holiday,Action|Adventure|Fantasy,Action,200000000,169601036,243273570.0,206297248.0,0.8480051819850385,Flop,Mega,Rising,Gal Gadot,Gal Gadot|Chris Pine|Kristen Wiig|Pedro Pascal|Robin Wright,90633|62064|41091|1253360|32,151,6.368,8989,6.0982
294963,Bone Tomahawk,2015-10-23,2015,Other,Western|Horror|Drama,Action,1800000,475846,2390856.0,632044.0,0.2643588739765172,Flop,Micro,Established,Kurt Russell,Kurt Russell|Patrick Wilson|Richard Jenkins|Matthew Fox|Lili Simmons,6856|17178|28633|28657|1039525,133,6.883,2502,4.0832
8247,Jumper,2008-02-13,2008,Other,Action|Adventure|Science Fiction,Action,85000000,222231186,124280817.0,324930276.0,2.614484550741246,Hit,High,Established,Hayden Christensen,Hayden Christensen|Jamie Bell|Samuel L. Jackson|Rachel Bilson|Michael Rooker,17244|478|2231|52783|12132,88,6.156,6176,6.269
32823,Get Him to the Greek,2010-06-03,2010,Summer,Adventure|Comedy|Music,Action,40000000,90029656,57734250.0,129944867.0,2.2507414056647486,Break-even,Mid,Rising,Jonah Hill,Jonah Hill|Russell Brand|Rose Byrne|Elisabeth Moss|Tyler McKinney,21007|59919|9827|32798|3856045,109,5.979,1917,2.0004
